#Parameters = {H=1.6; IL=10.7; IW=0.2; L=37.93; LS=75.85; ML=14.31; MT=0.035; MW=2.5; W=28.61; WS=57.23; k=6.26}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.5999999046326	-2.2902209270386
2.6040000915527	-2.2400176917943
2.6080000400543	-2.1922955409895
2.6119999885559	-2.1467128409439
2.6159999370575	-2.1029766292323
2.6199998855591	-2.0608454630919
2.6240000724792	-2.0201195541036
2.6280000209808	-1.9806488478063
2.6319999694824	-1.9423206142048
2.6359999179840	-1.9050615669497
2.6400001049042	-1.8688280190828
2.6440000534058	-1.8336054735062
2.6480000019073	-1.7994056682995
2.6519999504089	-1.7662553496282
2.6559998989105	-1.7341976260081
2.6600000858307	-1.7032841790320
2.6640000343323	-1.6735691952969
2.6679999828339	-1.6451133600010
2.6719999313354	-1.6179688861583
2.6760001182556	-1.5921828899597
2.6800000667572	-1.5677967751665
2.6840000152588	-1.5448363985959
2.6879999637604	-1.5233171767807
2.6919999122620	-1.5032391213104
2.6960000991821	-1.4845868613468
2.7000000476837	-1.4673330883386
2.7039999961853	-1.4514316271759
2.7079999446869	-1.4368208276132
2.7119998931885	-1.4234303761578
2.7160000801086	-1.4111757743215
2.7200000286102	-1.3999619895848
2.7239999771118	-1.3896860875266
2.7279999256134	-1.3802386942453
2.7320001125336	-1.3715081908698
2.7360000610352	-1.3633812871084
2.7400000095367	-1.3557446297515
2.7439999580383	-1.3484896331477
2.7479999065399	-1.3415142490475
2.7520000934601	-1.3347255101251
2.7560000419617	-1.3280354187134
2.7599999904633	-1.3213715396406
2.7639999389648	-1.3146732801156
2.7679998874664	-1.3078948632554
2.7720000743866	-1.3010021358509
2.7760000228882	-1.2939770234271
2.7799999713898	-1.2868141154551
2.7839999198914	-1.2795216494405
2.7880001068115	-1.2721198534210
2.7920000553131	-1.2646420524439
2.7960000038147	-1.2571289065968
2.7999999523163	-1.2496279210529
2.8039999008179	-1.2421946422025
2.8080000877380	-1.2348873951650
2.8120000362396	-1.2277667325743
2.8159999847412	-1.2208913159848
2.8199999332428	-1.2143187451863
2.8239998817444	-1.2081029227591
2.8280000686646	-1.2022911764477
2.8320000171661	-1.1969265558442
2.8359999656677	-1.1920378041372
2.8399999141693	-1.1876506355957
2.8440001010895	-1.1837761675287
2.8480000495911	-1.1804196948162
2.8519999980927	-1.1775731168429
2.8559999465942	-1.1752184055167
2.8599998950958	-1.1733292833567
2.8640000820160	-1.1718672605978
2.8680000305176	-1.1707917175577
2.8719999790192	-1.1700504032103
2.8759999275208	-1.1695881700352
2.8800001144409	-1.1693446068641
2.8840000629425	-1.1692568304224
2.8880000114441	-1.1692642460789
2.8919999599457	-1.1693026143426
2.8959999084473	-1.1693164348381
2.9000000953674	-1.1692494743062
2.9040000438690	-1.1690530634004
2.9079999923706	-1.1686866083786
2.9119999408722	-1.1681153934293
2.9159998893738	-1.1673154033754
2.9200000762939	-1.1662717194813
2.9240000247955	-1.1649786028628
2.9279999732971	-1.1634405874453
2.9319999217987	-1.1616706189366
2.9360001087189	-1.1596919438916
2.9400000572205	-1.1575391125880
2.9440000057220	-1.1552448584944
2.9479999542236	-1.1528573368600
2.9519999027252	-1.1504247813334
2.9560000896454	-1.1479993973843
2.9600000381470	-1.1456359170932
2.9639999866486	-1.1433869122820
2.9679999351501	-1.1413077098850
2.9719998836517	-1.1394459197386
2.9760000705719	-1.1378490042504
2.9800000190735	-1.1365560149967
2.9839999675751	-1.1356008807806
2.9879999160767	-1.1350099218026
2.9920001029968	-1.1348002768035
2.9960000514984	-1.1349796990056
3.0000000000000	-1.1355481603696
3.0039999485016	-1.1364973810588
3.0079998970032	-1.1378071038358
3.0120000839233	-1.1394515562209
3.0160000324249	-1.1413948425129
3.0199999809265	-1.1435974374175
3.0239999294281	-1.1460106544431
3.0280001163483	-1.1485819205237
3.0320000648499	-1.1512588409321
3.0360000133514	-1.1539836505254
3.0399999618530	-1.1566981896951
3.0439999103546	-1.1593476973254
3.0480000972748	-1.1618797427052
3.0520000457764	-1.1642451841882
3.0559999942780	-1.1664022833816
3.0599999427795	-1.1683143205801
3.0639998912811	-1.1699536377609
3.0680000782013	-1.1712990523578
3.0720000267029	-1.1723453614910
3.0759999752045	-1.1730887802567
3.0799999237061	-1.1735354180218
3.0840001106262	-1.1737098584756
3.0880000591278	-1.1736338432313
3.0920000076294	-1.1733454338783
3.0959999561310	-1.1728891331705
3.0999999046326	-1.1723092247520
3.1040000915527	-1.1716649882106
3.1080000400543	-1.1710084702329
3.1119999885559	-1.1704018831128
3.1159999370575	-1.1699053731693
3.1199998855591	-1.1695748170036
3.1240000724792	-1.1694682132390
3.1280000209808	-1.1696340450885
3.1319999694824	-1.1701224561915
3.1359999179840	-1.1709690887587
3.1400001049042	-1.1722052566429
3.1440000534058	-1.1738547584386
3.1480000019073	-1.1759327190168
3.1519999504089	-1.1784408006534
3.1559998989105	-1.1813729797618
3.1600000858307	-1.1847146058599
3.1640000343323	-1.1884393507552
3.1679999828339	-1.1925137565474
3.1719999313354	-1.1968964346219
3.1760001182556	-1.2015389527487
3.1800000667572	-1.2063859396156
3.1840000152588	-1.2113779786367
3.1879999637604	-1.2164556586429
3.1919999122620	-1.2215531922099
3.1960000991821	-1.2266107835776
3.2000000476837	-1.2315661900458
3.2039999961853	-1.2363648899485
3.2079999446869	-1.2409550716025
3.2119998931885	-1.2452944729458
3.2160000801086	-1.2493435334191
3.2200000286102	-1.2530770898224
3.2239999771118	-1.2564811879153
3.2279999256134	-1.2595461312411
3.2320001125336	-1.2622789543647
3.2360000610352	-1.2646952613232
3.2400000095367	-1.2668224921715
3.2439999580383	-1.2686992903699
3.2479999065399	-1.2703702305406
3.2520000934601	-1.2718909602951
3.2560000419617	-1.2733244192244
3.2599999904633	-1.2747357256002
3.2639999389648	-1.2762020375636
3.2679998874664	-1.2777908579506
3.2720000743866	-1.2795811286134
3.2760000228882	-1.2816445125063
3.2799999713898	-1.2840500049196
3.2839999198914	-1.2868638550422
3.2880001068115	-1.2901430672245
3.2920000553131	-1.2939415191839
3.2960000038147	-1.2982985117736
3.2999999523163	-1.3032428449531
3.3039999008179	-1.3088013064186
3.3080000877380	-1.3149777993727
3.3120000362396	-1.3217714731123
3.3159999847412	-1.3291696226130
3.3199999332428	-1.3371433842640
3.3239998817444	-1.3456579432950
3.3280000686646	-1.3546685012414
3.3320000171661	-1.3641199334368
3.3359999656677	-1.3739481077359
3.3399999141693	-1.3840868563812
3.3440001010895	-1.3944664394551
3.3480000495911	-1.4050117067265
3.3519999980927	-1.4156505168942
3.3559999465942	-1.4263103506016
3.3599998950958	-1.4369275939929
3.3640000820160	-1.4474425202625
3.3680000305176	-1.4578016290688
3.3719999790192	-1.4679666129327
3.3759999275208	-1.4779059278977
3.3800001144409	-1.4876034140589
3.3840000629425	-1.4970570226362
3.3880000114441	-1.5062786877130
3.3919999599457	-1.5152981124906
3.3959999084473	-1.5241548582420
3.4000000953674	-1.5329057902540
3.4040000438690	-1.5416230047984
3.4079999923706	-1.5503875324017
3.4119999408722	-1.5592928106549
3.4159998893738	-1.5684439919797
3.4200000762939	-1.5779506986153
3.4240000247955	-1.5879279352732
3.4279999732971	-1.5984970720345
3.4319999217987	-1.6097737881614
3.4360001087189	-1.6218794165849
3.4400000572205	-1.6349258198431
3.4440000057220	-1.6490236300730
3.4479999542236	-1.6642695463815
3.4519999027252	-1.6807558081061
3.4560000896454	-1.6985626979038
3.4600000381470	-1.7177530214616
3.4639999866486	-1.7383842376785
3.4679999351501	-1.7604921477665
3.4719998836517	-1.7841020548167
3.4760000705719	-1.8092246114920
3.4800000190735	-1.8358589612019
3.4839999675751	-1.8639862709977
3.4879999160767	-1.8935800687416
3.4920001029968	-1.9246037541761
3.4960000514984	-1.9570156652278
3.5000000000000	-1.9907655638240
3.5039999485016	-2.0258019651543
3.5079998970032	-2.0620763589328
3.5120000839233	-2.0995429650749
3.5160000324249	-2.1381611223629
3.5199999809265	-2.1779069833082
3.5239999294281	-2.2187690998784
3.5280001163483	-2.2607506599805
3.5320000648499	-2.3038807439941
3.5360000133514	-2.3482134578797
3.5399999618530	-2.3938280837395
3.5439999103546	-2.4408367545440
3.5480000972748	-2.4893815806378
3.5520000457764	-2.5396394823043
3.5559999942780	-2.5918246150818
3.5599999427795	-2.6461831880419
3.5639998912811	-2.7030021018043
3.5680000782013	-2.7626024801548
3.5720000267029	-2.8253373479580
3.5759999752045	-2.8915972362064
3.5799999237061	-2.9618060752653
3.5840001106262	-3.0364179044066
3.5880000591278	-3.1159150648503
3.5920000076294	-3.2008102015750
3.5959999561310	-3.2916426898823
3.5999999046326	-3.3889762289512
3.6040000915527	-3.4933986441790
3.6080000400543	-3.6055200681312
3.6119999885559	-3.7259765275718
3.6159999370575	-3.8554244475619
3.6199998855591	-3.9945460827020
3.6240000724792	-4.1440461891409
3.6280000209808	-4.3046586467495
3.6319999694824	-4.4771460970737
3.6359999179840	-4.6623014132556
3.6400001049042	-4.8609565587093
3.6440000534058	-5.0739816639222
3.6480000019073	-5.3022905346478
3.6519999504089	-5.5468483563585
3.6559998989105	-5.8086713878122
3.6600000858307	-6.0888410917942
3.6640000343323	-6.3884951163099
3.6679999828339	-6.7088368590491
3.6719999313354	-7.0511283274457
3.6760001182556	-7.4166862703803
3.6800000667572	-7.8068576565058
3.6840000152588	-8.2229886816333
3.6879999637604	-8.6663563830671
3.6919999122620	-9.1380807464966
3.6960000991821	-9.6389386812962
3.7000000476837	-10.169125835429
3.7039999961853	-10.727832687618
3.7079999446869	-11.312631128136
3.7119998931885	-11.918552863837
3.7160000801086	-12.536784685434
3.7200000286102	-13.152977052633
3.7239999771118	-13.745381462694
3.7279999256134	-14.283539243286
3.7320001125336	-14.729006098961
3.7360000610352	-15.040043095637
3.7400000095367	-15.181101024310
3.7439999580383	-15.134189886161
3.7479999065399	-14.905778669871
3.7520000934601	-14.524234531638
3.7560000419617	-14.029765814820
3.7599999904633	-13.463370861169
